"","phenotype","description","group"
"930","528.12","Oral aphthae","digestive"
"931","528.4","Cysts of oral soft tissues","digestive"
"932","528.5","Diseases of lips","digestive"
"933","528.6","Leukoplakia of oral mucosa","digestive"
"934","529","Diseases and other conditions of the tongue","digestive"
"935","529.1","Glossitis","digestive"
"936","529.6","Glossodynia","digestive"
"937","530","Diseases of esophagus","digestive"
"938","530.5","Disorders of esophageal motility","digestive"
"939","530.1","Esophagitis, GERD and related diseases","digestive"
"940","530.14","Reflux esophagitis","digestive"
"941","530.15","Eosinophilic esophagitis","digestive"
"942","530.12","Ulcer of esophagus","digestive"
"943","530.3","Stricture and stenosis of esophagus","digestive"
"944","530.6","Diverticulum of esophagus, acquired","digestive"
"945","530.7","Gastroesophageal laceration-hemorrhage syndrome","digestive"
"946","530.11","GERD","digestive"
"947","530.13","Barrett's esophagus","digestive"
"948","531","Peptic ulcer (excl. esophageal)","digestive"
"949","531.1","Hemorrhage from gastrointestinal ulcer","digestive"
"950","531.2","Gastric ulcer","digestive"
"951","531.3","Duodenal ulcer","digestive"
"952","531.4","Peptic ulcer, site unspecified","digestive"
"953","531.5","Gastrojejunal ulcer","digestive"
"954","535","Gastritis and duodenitis","digestive"
"955","535.1","Acute gastritis","digestive"
"956","535.2","Atrophic gastritis","digestive"
"957","535.8","Other specified gastritis","digestive"
"958","535.9","Gastritis and duodenitis, NOS","digestive"
"959","535.6","Duodenitis","digestive"
"960","536","Disorders of function of stomach","digestive"
"961","789.1","Persistent vomiting","symptoms"
"962","536.3","Gastroparesis","digestive"
"963","536.7","Complications of gastrostomy, colostomy and enterostomy","digestive"
"964","536.8","Dyspepsia and other specified disorders of function of stomach","digestive"
"965","564","Functional digestive disorders","digestive"
"966","537","Other disorders of stomach and duodenum","digestive"
"967","537.1","Lesions of stomach and duodenum","digestive"
"968","539","Bariatric surgery","digestive"
"969","540","Appendiceal conditions","digestive"
"970","540.11","Acute appendicitis","digestive"
"971","540.1","Appendicitis","digestive"
"972","550.1","Inguinal hernia","digestive"
"973","550","Abdominal hernia","digestive"
"974","550.3","Femoral hernia","digestive"
"975","550.4","Umbilical hernia","digestive"
"976","550.5","Ventral hernia","digestive"
"977","550.6","Incisional hernia","digestive"
"978","550.2","Diaphragmatic hernia","digestive"
"979","555","Inflammatory bowel disease and other gastroenteritis and colitis","digestive"
"980","555.1","Regional enteritis","digestive"
"981","555.2","Ulcerative colitis","digestive"
"982","555.21","Ulcerative colitis (chronic)","digestive"
"983","441","Vascular insufficiency of intestine","circulatory system"
"984","441.1","Acute vascular insufficiency of intestine","circulatory system"
"985","441.2","Chronic vascular insufficiency of intestine","circulatory system"
"986","558","Noninfectious gastroenteritis","digestive"
"987","990","Effects radiation NOS","injuries & poisonings"
"988","569.1","Toxic gastroenteritis and colitis","digestive"
"989","560","Intestinal obstruction without mention of hernia","digestive"
"990","560.4","Other intestinal obstruction","digestive"
"991","560.1","Paralytic ileus","digestive"
"992","560.2","Impaction of intestine","digestive"
"993","560.3","Peritoneal or intestinal adhesions","digestive"
"994","562","Diverticulosis and diverticulitis","digestive"
"995","562.1","Diverticulosis","digestive"
"996","562.2","Diverticulitis","digestive"
"997","564.1","Irritable Bowel Syndrome","digestive"
"998","569.2","Gastrointestinal complications","digestive"
"999","565","Anal and rectal conditions","digestive"
"1000","712","Infective connective tissue disorders","musculoskeletal"
"1001","568","Other disorders of peritoneum","digestive"
"1002","568.1","Peritoneal adhesions (postoperative) (postinfection)","digestive"
"1003","569","Other disorders of intestine","digestive"
"1004","565.1","Anal and rectal polyp","digestive"
"1005","578.8","Hemorrhage of rectum and anus","digestive"
"1006","556","Ulceration of the lower GI tract","digestive"
"1007","853","Complication of colostomy or enterostomy","injuries & poisonings"
"1008","556.1","Ulceration of intestine","digestive"
"1009","556.11","Angiodysplasia of intestine (without mention of hemorrhage)","digestive"
"1010","573.4","Acute and subacute necrosis of liver","digestive"
"1011","571","Chronic liver disease and cirrhosis","digestive"
"1012","317.11","Alcoholic liver damage","mental disorders"
"1013","070.4","Chronic hepatitis","infectious diseases"
"1014","571.51","Cirrhosis of liver without mention of alcohol","digestive"
"1015","571.6","Primary biliary cirrhosis","digestive"
"1016","571.5","Other chronic nonalcoholic liver disease","digestive"
"1017","571.8","Liver abscess and sequelae of chronic liver disease","digestive"
"1018","571.81","Portal hypertension","digestive"
"1019","573","Other disorders of liver","digestive"
"1020","573.1","Chronic passive congestion of liver","digestive"
"1021","070.9","Hepatitis NOS","infectious diseases"
"1022","574","Cholelithiasis and cholecystitis","digestive"
"1023","574.11","Cholelithiasis with acute cholecystitis","digestive"
"1024","574.12","Cholelithiasis with other cholecystitis","digestive"
"1025","574.1","Cholelithiasis","digestive"
"1026","574.2","Calculus of bile duct","digestive"
"1027","575","Other biliary tract disease","digestive"
"1028","574.3","Cholecystitis without cholelithiasis","digestive"
"1029","575.7","Other disorders of gallbladder","digestive"
"1030","575.6","Cholesterolosis of gallbladder","digestive"
"1031","575.8","Other disorders of biliary tract","digestive"
"1032","575.1","Cholangitis","digestive"
"1033","575.2","Obstruction of bile duct","digestive"
"1034","577","Diseases of pancreas","digestive"
"1035","577.1","Acute pancreatitis","digestive"
"1036","577.2","Chronic pancreatitis","digestive"
"1037","577.3","Cyst and pseudocyst of pancreas","digestive"
"1038","578","Gastrointestinal hemorrhage","digestive"
"1039","578.1","Hematemesis","digestive"
"1040","578.2","Blood in stool","digestive"
"1041","578.9","Hemorrhage of gastrointestinal tract","digestive"
"1042","557","Intestinal malabsorption (non-celiac)","digestive"
"1043","557.1","Celiac disease","digestive"
"1044","580","Nephritis; nephrosis; renal sclerosis","genitourinary"
"1045","580.11","Proliferative glomerulonephritis","genitourinary"
"1046","580.13","Acute glomerulonephritis, NOS","genitourinary"
"1047","580.12","Non-proliferative glomerulonephritis","genitourinary"
"1048","580.2","Nephrotic syndrome without mention of glomerulonephritis","genitourinary"
"1049","580.1","Glomerulonephritis","genitourinary"
"1050","580.14","Chronic glomerulonephritis, NOS","genitourinary"
"1051","580.3","Nephritis and nephropathy without mention of glomerulonephritis","genitourinary"
"1052","580.32","Nephritis and nephropathy with pathological lesion","genitourinary"
"1053","580.31","Nephritis and nephropathy in diseases classified elsewhere","genitourinary"
"1054","585","Renal failure","genitourinary"
"1055","585.1","Acute renal failure","genitourinary"
"1056","585.3","Chronic renal failure [CKD]","genitourinary"
"1057","585.4","Chronic kidney disease, Stage I or II","genitourinary"
"1058","585.33","Chronic Kidney Disease, Stage III","genitourinary"
"1059","585.34","Chronic Kidney Disease, Stage IV","genitourinary"
"1060","585.32","End stage renal disease","genitourinary"
"1061","585.2","Renal failure NOS","genitourinary"
"1062","580.4","Renal sclerosis, NOS","genitourinary"
"1063","588","Disorders resulting from impaired renal function","genitourinary"
"1064","588.1","Renal osteodystrophy","genitourinary"
"1065","588.2","Secondary hyperparathyroidism (of renal origin)","genitourinary"
"1066","586.11","Small kidney","genitourinary"
"1067","590","Pyelonephritis","genitourinary"
"1068","595","Hydronephrosis","genitourinary"
"1069","594","Urinary calculus","genitourinary"
"1070","594.1","Calculus of kidney","genitourinary"
"1071","594.3","Calculus of ureter","genitourinary"
"1072","586","Other disorders of the kidney and ureters","genitourinary"
"1073","586.1","Anatomical abnormatilies of kidney and ureters","genitourinary"
"1074","586.3","Vascular disorders of kidney/hypertrophy","genitourinary"
"1075","586.2","Cyst of kidney, acquired","genitourinary"
"1076","586.4","Stricture/obstruction of ureter","genitourinary"
"1077","269","Proteinuria","endocrine/metabolic"
"1078","586.12","Vesicoureteral reflux","genitourinary"
"1079","594.2","Calculus of lower urinary tract","genitourinary"
"1080","592","Cystitis and urethritis","genitourinary"
"1081","592.11","Acute cystitis","genitourinary"
"1082","592.13","Chronic interstitial cystitis","genitourinary"
"1083","592.12","Chronic cystitis","genitourinary"
"1084","596","Other disorders of bladder","genitourinary"
"1085","596.1","Bladder neck obstruction","genitourinary"
"1086","596.5","Functional disorders of bladder","genitourinary"
"1087","592.2","Urethritis and urethral syndrome","genitourinary"
"1088","592.21","Urethral syndrome","genitourinary"
"1089","592.3","Urethral stricture due to infecton","genitourinary"
"1090","597.1","Urethral stricture (not specified as infectious)","genitourinary"
"1091","597","Other disorders of urethra and urinary tract","genitourinary"
"1092","591","Urinary tract infection","genitourinary"
"1093","599.1","Urinary obstruction","genitourinary"
"1094","593","Hematuria","genitourinary"
"1095","593.1","Gross hematuria","genitourinary"
"1096","593.2","Microscopic hematuria","genitourinary"
"1097","599","Other symptoms/disorders or the urinary system","genitourinary"
"1098","597.8","Urethral hypermobility/ISD","genitourinary"
"1099","600","Hyperplasia of prostate","genitourinary"
"1100","601","Inflammatory diseases of prostate","genitourinary"
"1101","601.11","Acute prostatitis","genitourinary"
"1102","601.12","Chronic prostatitis","genitourinary"
"1103","601.1","Prostatitis","genitourinary"
"1104","602","Other disorders of prostate","genitourinary"
"1105","602.3","Dysplasia of prostate","genitourinary"
"1106","603.1","Hydrocele","genitourinary"
"1107","601.3","Orchitis and epididymitis","genitourinary"
"1108","604.1","Redundant prepuce and phimosis/BXO","genitourinary"
"1109","609","Male infertility and abnormal spermatozoa","genitourinary"
"1110","609.11","Azoospermia and oligospermia","genitourinary"
"1111","609.1","Infertility, male","genitourinary"
"1112","604","Disorders of penis","genitourinary"
"1113","601.4","Balanoposthitis","genitourinary"
"1114","601.8","Other inflammatory disorders of male genital organs","genitourinary"
"1115","604.2","Vascular disorders of penis","genitourinary"
"1116","604.3","Peyronie's disease","genitourinary"
"1117","608","Other disorders of male genital organs","genitourinary"
"1118","603.2","Spermatocele","genitourinary"
"1119","603","Other disorders of testis","genitourinary"
"1120","609.2","Abnormal spermatozoa","genitourinary"
"1121","610","Benign mammary dysplasias","genitourinary"
"1122","610.1","Cystic mastopathy","genitourinary"
"1123","610.2","Fibroadenosis of breast","genitourinary"
"1124","610.3","Fibrosclerosis of breast","genitourinary"
"1125","610.8","Other specified benign mammary dysplasias","genitourinary"
"1126","613","Other nonmalignant breast conditions","genitourinary"
"1127","613.1","Inflammatory disease of breast","genitourinary"
"1128","612.2","Hypertrophy of breast (Gynecomastia)","genitourinary"
"1129","612.1","Galactorrhea","genitourinary"
"1130","613.7","Other signs and symptoms in breast","genitourinary"
"1131","613.5","Mastodynia","genitourinary"
"1132","611.3","Lump or mass in breast","genitourinary"
"1133","613.8","Other specified disorders of breast","genitourinary"
"1134","612","Breast conditions, congenital or relating to hormones","genitourinary"
"1135","613.9","Breast disorder NOS","genitourinary"
"1136","175","Acquired absence of breast","neoplasms"
"1137","614","Inflammatory diseases of female pelvic organs","genitourinary"
"1138","614.31","Acute inflammatory pelvic disease","genitourinary"
"1139","614.32","Chronic inflammatory pelvic disease","genitourinary"
"1140","614.3","Pelvic inflammatory disease (PID)","genitourinary"
"1141","614.1","Pelvic peritoneal adhesions, female (postoperative) (postinfection)","genitourinary"
"1142","614.33","Pelvic inflammatory disease, NOS","genitourinary"
"1143","614.4","Inflammatory diseases of uterus, except cervix","genitourinary"
"1144","614.5","Inflammatory disease of cervix, vagina, and vulva","genitourinary"
"1145","614.51","Cervicitis and endocervicitis","genitourinary"
"1146","614.52","Vaginitis and vulvovaginitis","genitourinary"
"1147","614.53","Cyst or abscess of Bartholin's gland","genitourinary"
"1148","614.54","Abscess or ulceration of vulva","genitourinary"
"1149","615","Endometriosis","genitourinary"
"1150","618","Genital prolapse","genitourinary"
"1151","618.1","Prolapse of vaginal walls","genitourinary"
"1152","618.2","Uterine/Uterovaginal prolapse","genitourinary"
"1153","618.5","Prolapse of vaginal vault after hysterectomy","genitourinary"
"1154","618.6","Vaginal enterocele, congenital or acquired","genitourinary"
"1155","619","Noninflammatory female genital disorders","genitourinary"
"1156","628","Ovarian cyst","genitourinary"
"1157","624.2","Atrophy of female genital tract","genitourinary"
"1158","619.1","Noninflammatory disorders of ovary, fallopian tube, and broad ligament","genitourinary"
"1159","619.2","Disorders of uterus, NEC","genitourinary"
"1160","622.1","Polyp of corpus uteri","genitourinary"
"1161","623","Hypertrophy of female genital organs","genitourinary"
"1162","621","Endometrial hyperplasia","genitourinary"
"1163","626","Disorders of menstruation and other abnormal bleeding from female genital tract","genitourinary"
"1164","619.3","Noninflammatory disorders of cervix","genitourinary"
"1165","624","Symptoms involving female genital tract","genitourinary"
"1166","622.2","Mucous polyp of cervix","genitourinary"
"1167","619.4","Noninflammatory disorders of vagina","genitourinary"
"1168","620","Dysplasia of female genital organs","genitourinary"
"1169","622","Polyp of female genital organs","genitourinary"
"1170","619.5","Noninflammatory disorders of vulva and perineum","genitourinary"
"1171","624.1","Dystrophy of female genital tract","genitourinary"
"1172","625","Pain and other symptoms associated with female genital organs","genitourinary"
"1173","625.1","Dyspareunia","genitourinary"
"1174","626.21","Mittelschmerz","genitourinary"
"1175","626.2","Dysmenorrhea","genitourinary"
"1176","626.4","Premenstrual tension syndromes","genitourinary"
"1177","624.9","stress incontinence, female","genitourinary"
"1178","626.11","Absent or infrequent menstruation","genitourinary"
"1179","626.12","Excessive or frequent menstruation","genitourinary"
"1180","626.13","Irregular menstrual cycle","genitourinary"
"1181","626.14","Irregular menstrual bleeding","genitourinary"
"1182","626.1","Irregular menstrual cycle/bleeding","genitourinary"
"1183","627","Menopausal and postmenopausal disorders","genitourinary"
"1184","627.4","Premenopausal menorrhagia","genitourinary"
"1185","627.1","Postmenopausal bleeding","genitourinary"
"1186","627.2","Symptomatic menopause","genitourinary"
"1187","627.3","Postmenopausal atrophic vaginitis","genitourinary"
"1188","627.21","Symptomatic artificial menopause","genitourinary"
"1189","626.8","Infertility, female","genitourinary"
"1190","626.15","Infertility, female, associated with anovulation","genitourinary"
"1191","634.1","Missed abortion/Hydatidiform mole","pregnancy complications"
"1192","634","Miscarriage; stillbirth","pregnancy complications"
"1193","634.3","Ectopic pregnancy","pregnancy complications"
"1194","636.3","Hemorrhage in early pregnancy","pregnancy complications"
"1195","635.2","Antepartum hemorrhage, abruptio placentae, and placenta previa","pregnancy complications"
"1196","642","Hypertension complicating pregnancy, childbirth, and the puerperium","pregnancy complications"
"1197","642.1","Preeclampsia and eclampsia","pregnancy complications"
"1198","643","Excessive vomiting in pregnancy","pregnancy complications"
"1199","643.1","Hyperemesis gravidarum","pregnancy complications"
"1200","636","Early or threatened labor; hemorrhage in early pregnancy","pregnancy complications"
"1201","636.1","Threatened premature labor","pregnancy complications"
"1202","636.2","Early onset of delivery","pregnancy complications"
"1203","646","Other complications of pregnancy NEC","pregnancy complications"
"1204","647","Infectious and parasitic complications affecting pregnancy","pregnancy complications"
"1205","647.1","Infections of genitourinary tract during pregnancy","pregnancy complications"
"1206","649","Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium","pregnancy complications"
"1207","649.1","Diabetes or abnormal glucose tolerance complicating pregnancy","pregnancy complications"
"1208","644","Anemia during pregnancy","pregnancy complications"
"1209","306.1","Mental disorders durring/after pregnancy","mental disorders"
"1210","286.3","Coagulation defects complicating pregnancy or postpartum","hematopoietic"
"1211","636.8","Cervical incompetence","pregnancy complications"
"1212","654","Other and unspecified complications of birth; puerperium affecting management of mother","pregnancy complications"
"1213","654.1","Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium","pregnancy complications"
"1214","655","Known or suspected fetal abnormality affecting management of mother","pregnancy complications"
"1215","635","Hemorrhage during pregnancy; childbirth and postpartum","pregnancy complications"
"1216","654.2","Rhesus isoimmunization in pregnancy","pregnancy complications"
"1217","653","Problems associated with amniotic cavity and membranes","pregnancy complications"
"1218","655.1","Abnormality in fetal heart rate or rhythm","pregnancy complications"
"1219","635.3","Placenta previa and abruptio placenta","pregnancy complications"
"1220","669","Complications of labor and delivery NEC","pregnancy complications"
"1221","647.3","Major puerperal infection","pregnancy complications"
"1222","671","Venous/cerebrovascular complications embolism in pregnancy and the puerperium","pregnancy complications"
"1223","674","Other complications of the puerperium NEC","pregnancy complications"
"1224","676","Other disorders of the breast associated with childbirth and disorders of lactation","pregnancy complications"
"1225","686.1","Carbuncle and furuncle","dermatologic"
"1226","681.1","Cellulitis and abscess of fingers/toes","dermatologic"
"1227","681","Superficial cellulitis and abscess","dermatologic"
"1228","681.2","Cellulitis and abscess of face/neck","dermatologic"
"1229","681.7","Cellulitis and abscess of trunk","dermatologic"
"1230","681.3","Cellulitis and abscess of arm/hand","dermatologic"
"1231","681.5","Cellulitis and abscess of leg, except foot","dermatologic"
"1232","681.6","Cellulitis and abscess of foot, toe","dermatologic"
"1233","686.2","Impetigo","dermatologic"
"1234","686.3","Pilonidal cyst","dermatologic"
"1235","686.5","Pyoderma","dermatologic"
"1236","686.4","Pyogenic granuloma","dermatologic"
"1237","690","Erythematosquamous dermatosis","dermatologic"
"1238","690.1","Seborrheic dermatitis","dermatologic"
"1239","939","Atopic/contact dermatitis due to other or unspecified","dermatologic"
"1240","949.1","Diaper or napkin rash","injuries & poisonings"
"1241","931","Contact dermatitis and other eczema due to plants [except food]","dermatologic"
"1242","938","Dermatitis due to solar radiation","dermatologic"
"1243","938.1","Acute dermatitis due to solar radiation","dermatologic"
"1244","938.2","Chronic dermatitis due to solar radiation","dermatologic"
"1245","695.2","Bullous dermatoses","dermatologic"
"1246","695.21","Dermatitis herpetiformis","dermatologic"
"1247","695.22","Pemphigus and pemphigoid","dermatologic"
"1248","695","Erythematous conditions","dermatologic"
"1249","695.1","Toxic erythema","dermatologic"
"1250","695.81","Erythema nodosum","dermatologic"
"1251","695.3","Rosacea","dermatologic"
"1252","695.41","Cutaneous lupus erythematosus","dermatologic"
"1253","695.8","Other specified erythematous conditions","dermatologic"
"1254","695.9","Unspecified erythematous condition","dermatologic"
"1255","696","Psoriasis and related disorders","dermatologic"
"1256","696.42","Psoriatic arthropathy","dermatologic"
"1257","696.41","Psoriasis vulgaris","dermatologic"
"1258","696.2","Parapsoriasis","dermatologic"
"1259","696.3","Pityriasis","dermatologic"
"1260","696.4","Psoriasis","dermatologic"
"1261","695.7","Prurigo and Lichen","dermatologic"
"1262","698","Pruritus and related conditions","dermatologic"
"1263","700","Corns and callosities","dermatologic"
"1264","701","Other hypertrophic and atrophic conditions of skin","dermatologic"
"1265","701.3","Circumscribed scleroderma","dermatologic"
"1266","701.1","Keratoderma, acquired","dermatologic"
"1267","701.6","Acquired acanthosis nigricans","dermatologic"
"1268","701.4","Keloid scar","dermatologic"
"1269","701.5","Abnormal granulation tissue","dermatologic"
"1270","702","Degenerative skin conditions and other dermatoses","dermatologic"
"1271","702.1","Actinic keratosis","dermatologic"
"1272","702.2","Seborrheic keratosis","dermatologic"
"1273","703","Diseases of nail, NOS","dermatologic"
"1274","703.1","Ingrowing nail","dermatologic"
"1275","704","Diseases of hair and hair follicles","dermatologic"
"1276","704.1","Alopecia","dermatologic"
"1277","704.11","Alopecia Areata","dermatologic"
"1278","704.12","Telogen effluvium","dermatologic"
"1279","704.2","Hirsutism","dermatologic"
"1280","704.8","Other specified diseases of hair and hair follicles","dermatologic"
"1281","705","Disorders of sweat glands","dermatologic"
"1282","705.8","Hyperhidrosis","dermatologic"
"1283","705.1","Dyshidrosis","dermatologic"
"1284","705.3","Hidradenitis","dermatologic"
"1285","706","Diseases of sebaceous glands","dermatologic"
"1286","706.1","Acne","dermatologic"
"1287","706.2","Sebaceous cyst","dermatologic"
"1288","706.3","Seborrhea","dermatologic"
"1289","706.8","Other specified diseases of sebaceous glands","dermatologic"
"1290","707","Chronic ulcer of skin","dermatologic"
"1291","707.1","Decubitus ulcer","dermatologic"
"1292","707.2","Chronic ulcer of leg or foot","dermatologic"
"1293","707.3","Chronic ulcer of unspecified site","dermatologic"
"1294","947","Urticaria","dermatologic"
"1295","689","Disorder of skin and subcutaneous tissue NOS","dermatologic"
"1296","694","Dyschromia and Vitiligo","dermatologic"
"1297","694.2","Other dyschromia","dermatologic"
"1298","694.1","Vitiligo","dermatologic"
"1299","694.3","Vascular disorders of skin","dermatologic"
"1300","701.2","Scar conditions and fibrosis of skin","dermatologic"
"1301","702.4","Degenerative skin disorders","dermatologic"
"1302","709","Diffuse diseases of connective tissue","dermatologic"
"1303","695.42","Systemic lupus erythematosus","dermatologic"
"1304","709.2","Sicca syndrome","dermatologic"
"1305","709.5","Dermatomyositis","dermatologic"
"1306","709.4","Polymyositis","dermatologic"
"1307","709.6","Other specified diffuse diseases of connective tissue","dermatologic"
"1308","709.7","Unspecified diffuse connective tissue disease","dermatologic"
"1309","711.1","Pyogenic arthritis","musculoskeletal"
"1310","274","Gout and other crystal arthropathies","endocrine/metabolic"
"1311","274.21","Chondrocalcinosis","endocrine/metabolic"
"1312","274.2","Crystal arthropathies","endocrine/metabolic"
"1313","713","Arthropathy associated with other disorders classified elsewhere","musculoskeletal"
"1314","713.5","Arthropathy associated with neurological disorders","musculoskeletal"
"1315","714","Rheumatoid arthritis and other inflammatory polyarthropathies","musculoskeletal"
"1316","714.1","Rheumatoid arthritis","musculoskeletal"
"1317","714.2","Juvenile rheumatoid arthritis","musculoskeletal"
"1318","740","Osteoarthrosis","musculoskeletal"
"1319","740.2","Osteoarthrosis, generalized","musculoskeletal"
"1320","740.11","Osteoarthrosis, localized, primary","musculoskeletal"
"1321","740.12","Osteoarthrosis, localized, secondary","musculoskeletal"
"1322","740.1","Osteoarthritis; localized","musculoskeletal"
"1323","740.3","Osteoarthrosis involving more than one site, but not specified as generalized","musculoskeletal"
"1324","740.9","Osteoarthrosis NOS","musculoskeletal"
"1325","716.9","Arthropathy NOS","musculoskeletal"
"1326","716.3","Kaschin-Beck disease","musculoskeletal"
"1327","836","Traumatic arthropathy","injuries & poisonings"
"1328","716","Other arthropathies","musculoskeletal"
"1329","716.1","Unspecified polyarthropathy or polyarthritis","musculoskeletal"
"1330","716.2","Unspecified monoarthritis","musculoskeletal"
"1331","835","Internal derangement of knee","injuries & poisonings"
"1332","742.9","Other derangement of joint","musculoskeletal"
"1333","742.8","Articular cartilage disorder","musculoskeletal"
"1334","742.1","Loose body in joint","musculoskeletal"
"1335","742.2","Pathological, developmental or recurrent dislocation","musculoskeletal"
"1336","739","Contracture of joint","musculoskeletal"
"1337","741.1","Ankylosis of joint","musculoskeletal"
"1338","742","Derangement of joint, non-traumatic","musculoskeletal"
"1339","741","Symptoms and disorders of the joints","musculoskeletal"
"1340","741.4","Joint effusions","musculoskeletal"
"1341","741.5","Hemarthrosis","musculoskeletal"
"1342","741.6","Villonodular synovitis","musculoskeletal"
"1343","716.8","Palindromic rheumatism","musculoskeletal"
"1344","745","Pain in joint","musculoskeletal"
"1345","741.2","Stiffness of joint","musculoskeletal"
"1346","741.3","Difficulty in walking","musculoskeletal"
"1347","715","Other inflammatory spondylopathies","musculoskeletal"
"1348","715.2","Ankylosing spondylitis","musculoskeletal"
"1349","715.3","Spinal enthesopathy","musculoskeletal"
"1350","715.1","Sacroiliitis NEC","musculoskeletal"
"1351","721","Spondylosis and allied disorders","musculoskeletal"
"1352","721.1","Spondylosis without myelopathy","musculoskeletal"
"1353","721.2","Spondylosis with myelopathy","musculoskeletal"
"1354","721.8","Other allied disorders of spine","musculoskeletal"
"1355","722","Intervertebral disc disorders","musculoskeletal"
"1356","722.1","Displacement of intervertebral disc","musculoskeletal"
"1357","722.3","Schmorl's nodes","musculoskeletal"
"1358","722.6","Degeneration of intervertebral disc","musculoskeletal"
"1359","722.7","Intervertebral disc disorder with myelopathy","musculoskeletal"
"1360","722.8","Postlaminectomy syndrome","musculoskeletal"
"1361","722.9","Other and unspecified disc disorder","musculoskeletal"
"1362","723","Other disorders of cervical region","musculoskeletal"
"1363","720","Spinal stenosis","musculoskeletal"
"1364","761","Cervicalgia","symptoms"
"1365","767","Cervicocranial/Cervicobrachial syndrome","symptoms"
"1366","765","Cervical radiculitis","symptoms"
"1367","723.1","Torticollis","musculoskeletal"
"1368","724","Other and unspecified disorders of back","musculoskeletal"
"1369","720.1","Spinal stenosis of lumbar region","musculoskeletal"
"1370","760","Back pain","symptoms"
"1371","764","Sciatica","symptoms"
"1372","763","Thoracic or lumbosacral neuritis or radiculitis, unspecified","symptoms"
"1373","724.1","Disorders of sacrum","musculoskeletal"
"1374","724.2","Disorders of coccyx","musculoskeletal"
"1375","724.8","Other symptoms referable to back","musculoskeletal"
"1376","724.9","Other unspecified back disorders","musculoskeletal"
"1377","717","Polymyalgia Rheumatica","musculoskeletal"
"1378","726","Peripheral enthesopathies and allied syndromes","musculoskeletal"
"1379","726.1","Enthesopathy","musculoskeletal"
"1380","726.2","Synoviopathy","musculoskeletal"
"1381","726.3","Bursitis","musculoskeletal"
"1382","726.4","Calcaneal spur; Exostosis NOS","musculoskeletal"
"1383","727","Other disorders of synovium, tendon, and bursa","musculoskeletal"
"1384","727.1","Synovitis and tenosynovitis","musculoskeletal"
"1385","735.3","Hallux valgus (Bunion)","musculoskeletal"
"1386","727.2","Bursitis disorders","musculoskeletal"
"1387","727.4","Ganglion and cyst of synovium, tendon, and bursa","musculoskeletal"
"1388","727.5","Rupture of synovium","musculoskeletal"
"1389","727.6","Rupture of tendon, nontraumatic","musculoskeletal"
"1390","727.7","Contracture of tendon (sheath)","musculoskeletal"
"1391","727.8","Plica syndrome","musculoskeletal"
"1392","728","Disorders of muscle, ligament, and fascia","musculoskeletal"
"1393","728.1","Muscular calcification and ossification","musculoskeletal"
"1394","772.1","Muscular wasting and disuse atrophy","symptoms"
"1395","728.2","Laxity of ligament or hypermobility syndrome","musculoskeletal"
"1396","728.71","Contracture of palmar fascia [Dupuytren's disease]","musculoskeletal"
"1397","728.7","Fasciitis","musculoskeletal"
"1398","772.2","Spasm of muscle","symptoms"
"1399","772.3","Muscle weakness","symptoms"
"1400","772.4","Rhabdomyolysis","symptoms"
"1401","772","Symptoms of the muscles","symptoms"
"1402","729","Other disorders of soft tissues","musculoskeletal"
"1403","729.1","Rheumatism, unspecified and fibrositis","musculoskeletal"
"1404","770","Myalgia and myositis unspecified","symptoms"
"1405","766","Neuralgia, neuritis, and radiculitis NOS","symptoms"
"1406","729.3","Panniculitis","musculoskeletal"
"1407","729.7","Nontraumatic compartment syndrome","musculoskeletal"
"1408","771","Musculoskeletal symptoms referable to limbs","symptoms"
"1409","771.1","Swelling of limb","symptoms"
"1410","771.2","Cramp of limb","symptoms"
"1411","710","Osteomyelitis, periostitis, and other infections involving bone","musculoskeletal"
"1412","710.11","Acute osteomyelitis","musculoskeletal"
"1413","710.12","Chronic osteomyelitis","musculoskeletal"
"1414","710.19","Unspecified osteomyelitis","musculoskeletal"
"1415","710.2","Periostitis","musculoskeletal"
"1416","710.3","Osteopathy resulting from poliomyelitis","musculoskeletal"
"1417","731","Osteitis deformans and osteopathies associated with other disorders classified elsewhere","musculoskeletal"
"1418","731.1","Osteitis deformans [Paget's disease of bone]","musculoskeletal"
"1419","732","Osteochondropathies","musculoskeletal"
"1420","732.1","Juvenile osteochondrosis","musculoskeletal"
"1421","732.7","Osteochondritis dissecans","musculoskeletal"
"1422","743","Osteoporosis, osteopenia and pathological fracture","musculoskeletal"
"1423","743.1","Osteoporosis","musculoskeletal"
"1424","743.11","Osteoporosis NOS","musculoskeletal"
"1425","743.12","Senile osteoporosis","musculoskeletal"
"1426","743.13","Other specified osteoporosis","musculoskeletal"
"1427","743.2","Pathologic fracture","musculoskeletal"
"1428","743.21","Pathologic fracture of vertebrae","musculoskeletal"
"1429","743.22","Pathologic fracture of femur","musculoskeletal"
"1430","733.2","Cyst of bone","musculoskeletal"
"1431","733","Other disorders of bone and cartilage","musculoskeletal"
"1432","733.4","Aseptic necrosis of bone","musculoskeletal"
"1433","733.6","Costochondritis","musculoskeletal"
"1434","733.8","Malunion and nonunion of fracture","musculoskeletal"
"1435","743.9","Osteopenia or other disorder of bone and cartilage","musculoskeletal"
