"","phenotype","description","group"
"535","348.4","Cerebral cysts","neurological"
"536","348.2","Cerebral edema and compression of brain","neurological"
"537","348.8","Encephalopathy, not elsewhere classified","neurological"
"538","348.9","Other conditions of brain, NOS","neurological"
"539","967","Adverse effects of sedatives or other central nervous system depressants and anesthetics","injuries & poisonings"
"540","352.1","Trigeminal nerve disorders [CN5]","neurological"
"541","352.2","Facial nerve disorders [CN7]","neurological"
"542","352","Disorders of other cranial nerves","neurological"
"543","353","Nerve root and plexus disorders","neurological"
"544","353.1","Nerve plexus lesions","neurological"
"545","353.2","Nerve root lesions","neurological"
"546","351","Other peripheral nerve disorders","neurological"
"547","356","Hereditary and idiopathic peripheral neuropathy","neurological"
"548","357","Inflammatory and toxic neuropathy","neurological"
"549","250.6","Polyneuropathy in diabetes","endocrine/metabolic"
"550","316.1","Polyneuropathy due to drugs","mental disorders"
"551","358","Myoneural disorders","neurological"
"552","358.1","Myasthenia gravis","neurological"
"553","359","Muscular dystrophies and other myopathies","neurological"
"554","359.1","Muscular dystrophies","neurological"
"555","359.2","Myopathy","neurological"
"556","360","Disorders of the globe","sense organs"
"557","371","Inflammation of the eye","sense organs"
"558","371.1","Uveitis, noninfectious or NOS","sense organs"
"559","360.2","Progressive myopia","sense organs"
"560","360.3","Hypotony of eye","sense organs"
"561","361","Retinal detachments and defects","sense organs"
"562","361.1","Retinal detachment with retinal defect","sense organs"
"563","361.2","Retinoschisis and retinal cysts","sense organs"
"564","362","Other retinal disorders","sense organs"
"565","250.7","Diabetic retinopathy","endocrine/metabolic"
"566","362.4","Retinal vascular changes and abnomalities","sense organs"
"567","362.3","Other nondiabetic retinopathy","sense organs"
"568","362.1","Retinopathy of prematurity","sense organs"
"569","362.31","Separation of retinal layers","sense organs"
"570","362.2","Degeneration of macula and posterior pole of retina","sense organs"
"571","362.29","Macular degeneration (senile) of retina NOS","sense organs"
"572","362.21","Macular degeneration, dry","sense organs"
"573","362.22","Macular degeneration, wet","sense organs"
"574","362.23","Cystoid macular degeneration of retina","sense organs"
"575","362.5","Toxic maculopathy of retina","sense organs"
"576","362.26","Macular puckering of retina","sense organs"
"577","362.27","Drusen (degenerative) of retina","sense organs"
"578","362.6","Peripheral retinal degenerations","sense organs"
"579","362.7","Hereditary retinal dystrophies","sense organs"
"580","362.8","Retinal hemorrhage/ischemia","sense organs"
"581","362.9","Retinal edema","sense organs"
"582","363","Chorioretinal inflammations, scars, and other disorders of choroid","sense organs"
"583","363.3","Chorioretinal scars","sense organs"
"584","363.4","Choroidal degenerations","sense organs"
"585","379.5","Disorders of iris and ciliary body","sense organs"
"586","379.51","Pigmentary iris degeneration","sense organs"
"587","365","Glaucoma","sense organs"
"588","365.1","Open-angle glaucoma","sense organs"
"589","365.2","Primary angle-closure glaucoma","sense organs"
"590","365.11","Primary open angle glaucoma","sense organs"
"591","365.5","Pseudoexfoliation glaucoma","sense organs"
"592","366","Cataract","sense organs"
"593","366.1","Nonsenile Cataract","sense organs"
"594","366.2","Senile cataract","sense organs"
"595","366.3","Traumatic cataract","sense organs"
"596","367","Disorders of refraction and accommodation; blindness and low vision","sense organs"
"597","367.8","Hypermetropia","sense organs"
"598","367.1","Myopia","sense organs"
"599","367.2","Astigmatism","sense organs"
"600","368.3","Anisometropia","sense organs"
"601","368.7","Disorders of accommodation","sense organs"
"602","368","Visual disturbances","sense organs"
"603","368.1","Amblyopia","sense organs"
"604","368.9","Subjective visual disturbances","sense organs"
"605","368.91","Psychophysical visual disturbances","sense organs"
"606","368.2","Diplopia and disorders of binocular vision","sense organs"
"607","368.4","Visual field defects","sense organs"
"608","368.5","Color vision deficiencies","sense organs"
"609","367.9","Blindness and low vision","sense organs"
"610","370","Keratitis","sense organs"
"611","370.1","Corneal ulcer","sense organs"
"612","370.2","Superficial keratitis","sense organs"
"613","370.3","Keratoconjunctivitis","sense organs"
"614","371.21","Allergic conjunctivitis","sense organs"
"615","370.31","Keratoconjunctivitis sicca","sense organs"
"616","364","Corneal opacity and other disorders of cornea","sense organs"
"617","364.1","Corneal opacity","sense organs"
"618","364.2","Corneal edema","sense organs"
"619","364.4","Corneal degenerations","sense organs"
"620","364.5","Corneal dystrophy","sense organs"
"621","364.51","Fuchs' dystrophy","sense organs"
"622","364.41","Keratoconus","sense organs"
"623","369.5","Conjunctivitis, infectious","sense organs"
"624","371.2","Conjunctivitis, noninfectious","sense organs"
"625","372","Disorders of conjunctiva","sense organs"
"626","371.3","Inflammation of eyelids","sense organs"
"627","371.33","Noninfectious dermatoses of eyelid","sense organs"
"628","939.1","Contact and allergic dermatitis of eyelid","dermatologic"
"629","695.4","Lupus (localized and systemic)","dermatologic"
"630","374","Other disorders of eyelids","sense organs"
"631","374.1","Ectropion or entropion","sense organs"
"632","374.2","Lagophthalmos","sense organs"
"633","374.3","Ptosis of eyelid","sense organs"
"634","374.6","Dermatochalasis","sense organs"
"635","375","Disorders of lacrimal system","sense organs"
"636","379","Other disorders of eye","sense organs"
"637","375.1","Dry eyes","sense organs"
"638","375.2","Epiphora","sense organs"
"639","376","Disorders of the orbit","sense organs"
"640","371.9","Chronic inflammatory disorders of orbit","sense organs"
"641","242.3","Exophthalmos","endocrine/metabolic"
"642","242.31","Thyrotoxic exophthalmos","endocrine/metabolic"
"643","377","Disorders of optic nerve and visual pathways","sense organs"
"644","377.1","Optic atrophy","sense organs"
"645","377.3","Optic neuritis/neuropathy","sense organs"
"646","378","Strabismus and other disorders of binocular eye movements","sense organs"
"647","378.1","Strabismus (not specified as paralytic)","sense organs"
"648","378.5","Paralytic strabismus","sense organs"
"649","379.1","Scleritis and episcleritis","sense organs"
"650","379.2","Disorders of vitreous body","sense organs"
"651","379.3","Aphakia and other disorders of lens","sense organs"
"652","379.4","Anomalies of pupillary function","sense organs"
"653","378.2","Nystagmus and other irregular eye movements","sense organs"
"654","379.9","Pain, swelling or discharge of eye","sense organs"
"655","380","Disorders of external ear","sense organs"
"656","380.1","Otitis externa","sense organs"
"657","385.3","Cholesteatoma","sense organs"
"658","380.4","Impacted cerumen","sense organs"
"659","381","Otitis media and Eustachian tube disorders","sense organs"
"660","381.2","Eustachian tube disorders","sense organs"
"661","381.11","Suppurative and unspecified otitis media","sense organs"
"662","381.3","Mastoiditis & related conditions","sense organs"
"663","384","Other disorders of tympanic membrane","sense organs"
"664","384.1","Myringitis","sense organs"
"665","384.4","Perforation of tympanic membrane","sense organs"
"666","385","Other disorders of middle ear and mastoid","sense organs"
"667","385.5","Tympanosclerosis and middle ear disease related to otitis media","sense organs"
"668","386","Vertiginous syndromes and other disorders of vestibular system","sense organs"
"669","386.1","Meniere's disease","sense organs"
"670","386.2","Peripheral or central vertigo","sense organs"
"671","386.21","Central origin vertigo","sense organs"
"672","386.3","Labyrinthitis","sense organs"
"673","383","Otosclerosis","sense organs"
"674","388","Other disorders of ear","sense organs"
"675","389.3","Degenerative and vascular disorders of ear","sense organs"
"676","389","Hearing loss","sense organs"
"677","389.4","Tinnitus","sense organs"
"678","389.5","Disorders of acoustic nerve","sense organs"
"679","381.9","Otorrhea","sense organs"
"680","382","Otalgia","sense organs"
"681","389.2","Conductive hearing loss","sense organs"
"682","389.1","Sensorineural hearing loss","sense organs"
"683","041.21","Rheumatic fever / chorea","infectious diseases"
"684","420.21","Acute pericarditis","circulatory system"
"685","394.4","Acute rheumatic heart disease","circulatory system"
"686","420.22","Chronic pericarditis","circulatory system"
"687","394.2","Mitral valve disease","circulatory system"
"688","394.3","Aortic valve disease","circulatory system"
"689","394","Rheumatic disease of the heart valves","circulatory system"
"690","394.1","Mitral valve stenosis and aortic valve stenosis","circulatory system"
"691","394.7","Disease of tricuspid valve","circulatory system"
"692","428.1","Congestive heart failure (CHF) NOS","circulatory system"
"693","401.1","Essential hypertension","circulatory system"
"694","401.3","Other hypertensive complications","circulatory system"
"695","401.21","Hypertensive heart disease","circulatory system"
"696","401.22","Hypertensive chronic kidney disease","circulatory system"
"697","401.2","Hypertensive heart and/or renal disease","circulatory system"
"698","411.2","Myocardial infarction","circulatory system"
"699","411","Ischemic Heart Disease","circulatory system"
"700","411.1","Unstable angina (intermediate coronary syndrome)","circulatory system"
"701","411.9","Other acute and subacute forms of ischemic heart disease","circulatory system"
"702","411.4","Coronary atherosclerosis","circulatory system"
"703","411.3","Angina pectoris","circulatory system"
"704","411.8","Other chronic ischemic heart disease, unspecified","circulatory system"
"705","429.1","Heart transplant/surgery","circulatory system"
"706","411.41","Aneurysm and dissection of heart","circulatory system"
"707","415.1","Acute pulmonary heart disease","circulatory system"
"708","415.11","Pulmonary embolism and infarction, acute","circulatory system"
"709","452.1","Iatrogenic pulmonary embolism and infarction","circulatory system"
"710","415.2","Chronic pulmonary heart disease","circulatory system"
"711","415.21","Primary pulmonary hypertension","circulatory system"
"712","415","Pulmonary heart disease","circulatory system"
"713","395","Heart valve disorders","circulatory system"
"714","395.1","Nonrheumatic mitral valve disorders","circulatory system"
"715","395.2","Nonrheumatic aortic valve disorders","circulatory system"
"716","395.3","Nonrheumatic tricuspid valve disorders","circulatory system"
"717","395.4","Nonrheumatic pulmonary valve disorders","circulatory system"
"718","425","Cardiomyopathy","circulatory system"
"719","425.1","Primary/intrinsic cardiomyopathies","circulatory system"
"720","425.11","Hypertrophic obstructive cardiomyopathy","circulatory system"
"721","425.12","Other hypertrophic cardiomyopathy","circulatory system"
"722","425.8","Other cardiomyopathy","circulatory system"
"723","425.2","Secondary/extrinsic cardiomyopathies","circulatory system"
"724","426.8","Other cardiac conduction disorders","circulatory system"
"725","426.24","Atrioventricular block, complete","circulatory system"
"726","426.2","Atrioventricular [AV] block","circulatory system"
"727","426.21","First degree AV block","circulatory system"
"728","426.22","Mobitz II AV block","circulatory system"
"729","426.23","Second degree AV block","circulatory system"
"730","426.32","Left bundle branch block","circulatory system"
"731","426.31","Right bundle branch block","circulatory system"
"732","426.3","Bundle branch block","circulatory system"
"733","426.25","Other heart block","circulatory system"
"734","426.4","Anomalous atrioventricular excitation","circulatory system"
"735","426","Cardiac conduction disorders","circulatory system"
"736","427","Cardiac dysrhythmias","circulatory system"
"737","427.11","Paroxysmal supraventricular tachycardia","circulatory system"
"738","427.12","Paroxysmal ventricular tachycardia","circulatory system"
"739","427.1","Paroxysmal tachycardia, unspecified","circulatory system"
"740","427.2","Atrial fibrillation and flutter","circulatory system"
"741","427.21","Atrial fibrillation","circulatory system"
"742","427.22","Atrial flutter","circulatory system"
"743","427.4","Cardiac arrest and ventricular fibrillation","circulatory system"
"744","427.41","Ventricular fibrillation and flutter","circulatory system"
"745","427.42","Cardiac arrest","circulatory system"
"746","427.6","Premature beats","circulatory system"
"747","427.61","Supraventricular premature beats","circulatory system"
"748","427.3","Other specified cardiac dysrhythmias","circulatory system"
"749","427.8","Sinoatrial node dysfunction (Bradycardia)","circulatory system"
"750","427.5","Arrhythmia (cardiac) NOS","circulatory system"
"751","428","Congestive heart failure; nonhypertensive","circulatory system"
"752","428.2","Heart failure NOS","circulatory system"
"753","428.3","Heart failure with reduced EF [Systolic or combined heart failure]","circulatory system"
"754","428.4","Heart failure with preserved EF [Diastolic heart failure]","circulatory system"
"755","414","Other forms of chronic heart disease","circulatory system"
"756","414.2","ASCVD","circulatory system"
"757","416","Cardiomegaly","circulatory system"
"758","429","Ill-defined descriptions and complications of heart disease","circulatory system"
"759","430.1","Subarachnoid hemorrhage","circulatory system"
"760","430.2","Intracerebral hemorrhage","circulatory system"
"761","430","Intracranial hemorrhage","circulatory system"
"762","430.3","Subdural hemorrhage","circulatory system"
"763","433.1","Occlusion and stenosis of precerebral arteries","circulatory system"
"764","433.11","Occlusion of cerebral arteries, with cerebral infarction","circulatory system"
"765","433.2","Occlusion of cerebral arteries","circulatory system"
"766","433.21","Cerebral artery occlusion, with cerebral infarction","circulatory system"
"767","433.31","Transient cerebral ischemia","circulatory system"
"768","433","Cerebrovascular disease","circulatory system"
"769","433.12","Cerebral atherosclerosis","circulatory system"
"770","433.3","Cerebral ischemia","circulatory system"
"771","433.5","Cerebral aneurysm","circulatory system"
"772","433.32","Moyamoya disease","circulatory system"
"773","433.8","Late effects of cerebrovascular disease","circulatory system"
"774","440","Atherosclerosis","circulatory system"
"775","440.9","Atherosclerosis of aorta","circulatory system"
"776","440.1","Atherosclerosis of renal artery","circulatory system"
"777","440.2","Atherosclerosis of the extremities","circulatory system"
"778","440.22","Atherosclerosis of native arteries of the extremities with intermittent claudication","circulatory system"
"779","440.21","Atherosclerosis of native arteries of the extremities with ulceration or gangrene","circulatory system"
"780","442.1","Aortic aneurysm","circulatory system"
"781","442.11","Abdominal aortic aneurysm","circulatory system"
"782","442","Other aneurysm","circulatory system"
"783","442.8","Aneurysm of other specified artery","circulatory system"
"784","442.2","Aneurysm of iliac artery","circulatory system"
"785","442.3","Aneurysm of artery of lower extremity","circulatory system"
"786","443","Peripheral vascular disease","circulatory system"
"787","443.1","Raynaud's syndrome","circulatory system"
"788","446.1","Thromboangiitis obliterans","circulatory system"
"789","442.4","Arterial dissection","circulatory system"
"790","443.8","Other specified peripheral vascular diseases","circulatory system"
"791","443.7","Peripheral angiopathy in diseases classified elsewhere","circulatory system"
"792","443.9","Peripheral vascular disease, unspecified","circulatory system"
"793","444","Arterial embolism and thrombosis","circulatory system"
"794","444.2","Embolism and thrombosis of abdominal aorta","circulatory system"
"795","444.1","Arterial embolism and thrombosis of lower extremity artery","circulatory system"
"796","444.5","Atheroembolism","circulatory system"
"797","446","Polyarteritis nodosa and allied conditions","circulatory system"
"798","446.6","Polyarteritis nodosa","circulatory system"
"799","446.2","Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)","circulatory system"
"800","446.3","Hypersensitivity angiitis","circulatory system"
"801","446.4","Wegener's granulomatosis","circulatory system"
"802","446.5","Giant cell arteritis","circulatory system"
"803","446.8","Thrombotic microangiopathy","circulatory system"
"804","446.7","Takayasu's disease","circulatory system"
"805","447","Other disorders of arteries and arterioles","circulatory system"
"806","447.1","Stricture of artery","circulatory system"
"807","446.9","Arteritis NOS","circulatory system"
"808","447.7","Aortic ectasia","circulatory system"
"809","448","Disease of capillaries","circulatory system"
"810","217.1","Nevus, non-neoplastic","neoplasms"
"811","451","Phlebitis and thrombophlebitis","circulatory system"
"812","451.2","Phlebitis and thrombophlebitis of lower extremities","circulatory system"
"813","452","Other venous embolism and thrombosis","circulatory system"
"814","452.2","Deep vein thrombosis [DVT]","circulatory system"
"815","454.1","Varicose veins of lower extremity","circulatory system"
"816","454.11","Varicose veins of lower extremity, symptomtic","circulatory system"
"817","455","Hemorrhoids","circulatory system"
"818","454","Varicose veins","circulatory system"
"819","530.2","Esophageal bleeding (varices/hemorrhage)","digestive"
"820","450","Noninfectious disorders of lymphatic channels","circulatory system"
